sampleId,frameCount,validFrameCount,deflectionMeanMm,deflectionP50Mm,deflectionP05Mm,deflectionP95Mm,deflectionStdMm,deflectionRangeMm,deflectionSlopeMmPerSec,driftMmPerMin,validRate,confidenceMean,qualityMean,weightG,standardDeflectionMm,phoneMinusStandardMm
sample_019_3856.2g,80,80,12.491784579267026,12.493718432565721,12.438324374426118,12.535163141881956,0.027605560433970333,0.13350456348891626,0.0020406585296792717,0.1224395117807563,1.0,0.5999999999999999,0.8992461059358903,3856.2,11.6,0.8917845792670267
sample_011_3892.1g,29,29,14.038573790877038,14.042480814196146,14.000685783965634,14.080589510660765,0.0268427662445094,0.11368391624937324,0.00017380755683604561,0.010428453410162736,1.0,0.6000000000000001,0.8829717918177103,3892.1,16.0,-1.961426209122962
sample_018_3945.1g,80,80,12.739168870521755,12.737053242559838,12.696047000095783,12.775472251624901,0.02543735737863075,0.12772262843716042,0.00218443184252703,0.1310659105516218,1.0,0.5999999999999999,0.9000776606774888,3945.1,11.9,0.839168870521755
sample_017_4019g,80,80,12.878270645398795,12.882284925926779,12.844391691346468,12.90154178667027,0.017699454920685306,0.06564156334191296,0.0008271427762852298,0.049628566577113786,1.0,0.5999999999999999,0.8996647820831274,4019.0,12.0,0.8782706453987945
sample_010_4072.9g,30,30,14.261220100458921,14.261815432606944,14.218189693562858,14.32678009677837,0.03770888423127233,0.13782299412849852,0.006207720090797933,0.372463205447876,1.0,0.6000000000000001,0.8853261261805893,4072.9,16.1,-1.8387798995410805
sample_016_4079.5g,80,80,12.961880304643774,12.963751385132287,12.911465616475772,12.998928715183313,0.028822287898215997,0.11845596507627931,-0.0005533789598114494,-0.03320273758868696,1.0,0.5999999999999999,0.8992736581945792,4079.5,12.6,0.3618803046437744
sample_015_4139.1g,80,80,13.1280698278855,13.12871597109574,13.101786060982189,13.1469779036776,0.013268208379680147,0.05576460757504442,-0.0004354743812007905,-0.02612846287204743,1.0,0.5999999999999999,0.8992971626017242,4139.1,12.18,0.9480698278855009
sample_009_4151.4g,28,28,14.39427743972029,14.394571846434298,14.358878581406367,14.433142835861826,0.02651177148378184,0.08745743955167562,0.009357283347717732,0.5614370008630639,1.0,0.6,0.886595687624067,4151.4,15.5,-1.1057225602797107
sample_014_4202.3g,80,80,13.28179003027014,13.277208172638456,13.240124436518094,13.330046063053457,0.029000113648361393,0.1124040135198392,-0.00023622296310436334,-0.0141733777862618,1.0,0.5999999999999999,0.8988883926696143,4202.3,12.1,1.1817900302701396
sample_008_4273.3g,28,28,14.503009761536243,14.498521663620224,14.482464310117171,14.54083126141051,0.01805427104903884,0.06256505179405458,0.0022510434335753673,0.13506260601452205,1.0,0.6,0.8889881827416165,4273.3,16.2,-1.6969902384637567
